순위,지역,시도,시군구,종합점수,점수_산업성,점수_성장성,점수_수요성,유형,LQ,화물차,영업용화물,승용차,차량_총,화물차비율,영업용비중,화물차_증가율,인구_증가율,디커플링,가속도,추세지속성,영업용전환율,안정성,인구수,배후인구,면적,인구밀도,인구1천명당화물차
118,경상남도 창원시 마산회원구,경상남도,창원시 마산회원구,49.5,68.5,38.1,41.9,포화,1.085,12015,6015,46027,73201,16.41,50.06,-8.87,-2.38,-6.49,3.26,0.64,0.34,0.73,173303,1171118,159.9,1083.8,69.3
120,서울특별시 용산구,서울특별시,용산구,49.2,34.6,56.9,56.2,미개척,0.835,13976,2942,85533,110590,12.64,21.05,4.19,-1.66,5.85,5.19,0.76,0.17,0.58,196578,1516479,49.4,3979.3,71.1
120,부산광역시 기장군,부산광역시,기장군,49.2,27.0,62.2,58.5,미개척,0.423,4689,2660,53046,73255,6.4,56.73,4.14,0.31,3.83,4.21,0.54,0.33,0.86,174932,406366,84.4,2072.7,26.8
122,전북특별자치도 고창군,전북특별자치도,고창군,49.1,84.6,40.1,22.6,포화,1.739,7577,2211,20783,28802,26.31,29.18,-3.72,-1.06,-2.66,2.72,0.36,0.43,0.83,49858,209066,355.6,140.2,152.0
123,전남광주통합특별시 영광군,전남광주통합특별시,영광군,49.0,59.0,39.4,48.6,포화,1.321,4152,685,14618,20768,19.99,16.5,-6.73,1.35,-8.08,1.95,0.77,0.32,0.76,53655,476520,74.5,720.2,77.4
123,전북특별자치도 전주시 덕진구,전북특별자치도,전주시 덕진구,49.0,48.2,41.7,57.0,정체,0.898,19533,7417,110801,143843,13.58,37.97,-3.4,-1.36,-2.04,1.84,0.69,0.5,0.63,306143,897987,137.3,2229.7,63.8
123,강원특별자치도 정선군,강원특별자치도,정선군,49.0,51.9,56.3,38.8,성장 중,1.064,2463,629,11058,15311,16.09,25.54,6.38,5.58,0.8,0.4,1.0,0.27,0.76,35054,258541,176.5,198.6,70.3
126,전남광주통합특별시 영암군,전남광주통합특별시,영암군,48.9,62.5,50.8,33.4,성장 중,1.155,3175,1107,13440,18166,17.48,34.87,3.78,-0.9,4.68,-5.33,0.65,0.61,0.62,49906,332471,87.8,568.4,63.6
127,경기도 연천군,경기도,연천군,48.8,72.5,37.8,36.2,포화,1.207,4311,1387,17883,23605,18.26,32.17,-4.09,5.12,-9.21,-4.96,0.5,0.61,0.96,42909,130135,207.0,207.3,100.5
128,경기도 성남시 수정구,경기도,성남시 수정구,48.6,35.2,44.6,65.9,미개척,0.79,10528,4060,66028,88101,11.95,38.56,6.38,0.82,5.56,-3.66,0.23,0.59,0.61,233732,2044371,478.6,488.4,45.0
128,전북특별자치도 장수군,전북특별자치도,장수군,48.6,77.4,44.1,24.2,포화,1.337,2410,722,9123,11919,20.22,29.96,0.25,3.6,-3.35,2.8,0.42,0.73,0.59,21148,46393,1830.0,11.6,114.0
128,인천광역시 계양구,인천광역시,계양구,48.6,42.9,32.1,70.9,정체,0.754,17801,7494,114921,156110,11.4,42.1,-1.03,-0.41,-0.62,-5.22,0.55,0.26,0.8,274790,2587441,167.5,1640.5,64.8
131,경상북도 의성군,경상북도,의성군,48.5,42.8,63.2,39.4,미개척,0.8,2721,1157,16372,22488,12.1,42.52,2.54,-0.59,3.13,-1.65,0.76,0.89,0.82,47819,414554,56.1,852.4,56.9
131,서울특별시 은평구,서울특별시,은평구,48.5,13.8,60.3,71.5,미개척,0.542,20613,3675,168023,251506,8.2,17.83,4.25,-1.18,5.43,-0.98,0.79,0.32,0.87,450361,3486226,244.0,1845.7,45.8
131,경상남도 함양군,경상남도,함양군,48.5,67.2,57.2,21.0,성장 중,1.2,3500,958,13857,19272,18.16,27.37,2.72,-1.52,4.24,2.27,0.9,0.18,0.74,35043,162875,65.6,534.2,99.9
134,경기도 남양주시,경기도,남양주시,48.4,34.3,29.1,81.9,정체,0.565,29335,15265,245270,343181,8.55,52.04,-2.2,-0.37,-1.83,-4.46,1.0,0.0,0.62,724303,2539183,249.3,2905.3,40.5
135,서울특별시 광진구,서울특별시,광진구,48.3,6.8,62.3,75.9,미개척,0.503,8981,1355,84249,118057,7.61,15.09,3.11,-0.58,3.69,3.05,0.85,0.62,0.55,328497,1810924,38.9,8444.7,27.3
135,경상남도 하동군,경상남도,하동군,48.3,55.4,68.5,20.9,미개척,0.896,3265,1321,17197,24072,13.56,40.46,8.77,-1.83,10.6,1.95,0.39,0.54,0.82,39405,369170,137.2,287.2,82.9
137,서울특별시 마포구,서울특별시,마포구,48.2,20.0,62.6,62.0,정체,0.458,9163,3260,95688,132199,6.93,35.58,2.05,-0.8,2.85,3.62,0.59,0.36,1.0,353204,1416461,274.8,1285.3,25.9
138,부산광역시 동구,부산광역시,동구,47.9,43.0,67.7,33.1,미개척,0.9,4163,1475,22024,30563,13.62,35.43,3.56,-1.51,5.07,0.76,0.44,0.82,1.0,82664,215804,58.6,1410.6,50.4
139,울산광역시 중구,울산광역시,중구,47.8,62.2,26.4,54.9,포화,1.113,20754,5176,76304,123249,16.84,24.94,-5.56,-0.87,-4.69,-2.1,0.24,0.5,0.76,202307,547032,67.2,3010.5,102.6
140,강원특별자치도 고성군,강원특별자치도,고성군,47.7,50.2,61.9,31.0,미개척,0.886,1465,688,7684,10935,13.4,46.96,4.7,1.53,3.17,0.29,0.83,0.54,0.72,27121,143933,123.4,219.8,54.0
140,서울특별시 관악구,서울특별시,관악구,47.7,22.2,41.0,79.8,정체,0.577,20544,6046,155081,235439,8.73,29.43,-0.87,-0.35,-0.52,0.44,0.2,0.6,0.77,474250,3645237,258.5,1834.6,43.3
142,전남광주통합특별시 보성군,전남광주통합특별시,보성군,47.6,60.2,41.5,41.1,정체,0.96,3359,1277,14440,23115,14.53,38.02,-2.69,3.54,-6.23,-0.69,0.77,0.71,0.61,38029,349368,141.5,268.8,88.3
143,인천광역시 미추홀구,인천광역시,미추홀구,47.5,20.3,40.9,81.3,정체,0.441,14377,4944,141684,215633,6.67,34.39,-4.03,0.25,-4.28,-7.57,0.69,0.64,0.81,416358,1456463,62.3,6683.1,34.5
144,전남광주통합특별시 북구,전남광주통합특별시,북구,47.4,32.9,28.6,80.8,정체,0.827,28870,6028,149000,230806,12.51,20.88,-3.02,-0.72,-2.3,1.34,0.0,0.36,0.74,415597,2549676,25.9,16046.2,69.5
145,강원특별자치도 강릉시,강원특별자치도,강릉시,47.2,18.2,74.0,49.4,미개척,0.686,10693,1264,69832,103000,10.38,11.82,13.71,-0.63,14.34,4.44,0.4,0.47,0.84,204945,438096,177.4,1155.3,52.2
145,전북특별자치도 김제시,전북특별자치도,김제시,47.2,37.4,64.4,39.8,미개척,0.736,4238,1735,28184,38033,11.14,40.94,8.01,0.3,7.71,0.89,0.54,0.37,0.83,81480,409089,418.3,194.8,52.0
147,경상북도 영천시,경상북도,영천시,47.0,51.1,55.3,34.6,성장 중,1.113,6178,1437,26536,36691,16.84,23.26,4.51,-2.67,7.18,-2.73,0.88,0.55,0.5,93657,863389,122.1,767.1,66.0
148,경기도 구리시,경기도,구리시,46.8,33.4,43.1,64.0,정체,0.873,14373,719,78956,108802,13.21,5.0,-2.25,0.86,-3.11,3.31,1.0,0.31,0.61,187164,349501,33.4,5603.7,76.8
148,경기도 고양시 일산동구,경기도,고양시 일산동구,46.8,44.1,29.8,66.5,정체,0.957,24279,4799,113148,167667,14.48,19.77,-1.17,1.67,-2.84,-5.75,0.53,0.64,0.53,296086,801823,291.1,1017.1,82.0
150,대전광역시 대덕구,대전광역시,대덕구,46.7,35.6,71.9,32.7,미개척,0.604,8821,3657,66970,96557,9.14,41.46,2.46,-1.69,4.15,3.38,0.78,0.61,0.83,163226,759930,754.2,216.4,54.0
150,경기도 용인시 수지구,경기도,용인시 수지구,46.7,35.2,36.0,68.8,정체,0.598,19915,8183,142112,220126,9.05,41.09,-2.94,-1.63,-1.31,2.53,0.54,0.48,0.47,366772,2125099,42.2,8691.3,54.3
150,경기도 성남시 중원구,경기도,성남시 중원구,46.7,40.8,63.3,36.0,정체,0.934,16527,2486,75734,116934,14.13,15.04,0.54,-3.02,3.56,3.41,0.59,0.51,0.88,197990,1529595,1194.1,165.8,83.5
153,부산광역시 부산진구,부산광역시,부산진구,46.5,12.9,51.5,75.2,미개척,0.563,12841,2430,97590,150696,8.52,18.92,4.52,-0.13,4.65,-0.36,0.57,0.43,0.68,362704,2674979,252.5,1436.5,35.4
154,경기도 안산시 단원구,경기도,안산시 단원구,46.4,56.3,30.4,52.5,포화,1.116,29009,3027,112248,171733,16.89,10.43,-1.33,-0.71,-0.62,-1.63,0.28,0.31,0.82,286874,647982,433.3,662.1,101.1
155,전남광주통합특별시 목포시,전남광주통합특별시,목포시,46.3,69.4,30.8,38.8,포화,1.419,25089,1254,89705,116870,21.47,5.0,-5.73,-3.18,-2.55,1.48,0.33,0.28,0.81,198640,918657,341.2,582.2,126.3
156,충청북도 청주시 상당구,충청북도,청주시 상당구,46.2,67.4,34.2,37.1,포화,1.034,18463,7846,79229,117970,15.65,42.5,1.81,-1.95,3.76,-2.98,0.5,0.26,0.62,192375,1525454,1052.7,182.7,96.0
156,경상북도 영주시,경상북도,영주시,46.2,33.7,72.6,32.3,미개척,0.813,5758,1624,35558,46811,12.3,28.2,11.67,-1.54,13.21,1.78,1.0,0.37,0.7,96139,404148,158.3,607.3,59.9
158,인천광역시 연수구,인천광역시,연수구,46.0,24.4,30.3,83.2,정체,0.519,11818,4693,116139,150452,7.85,39.71,0.11,1.24,-1.13,2.21,0.31,0.27,0.6,408540,3590606,277.0,1474.9,28.9
158,강원특별자치도 평창군,강원특별자치도,평창군,46.0,61.0,47.9,29.2,정체,0.97,3112,1341,13385,21216,14.67,43.09,1.29,-0.14,1.43,2.72,0.51,0.41,0.69,39726,208769,231.3,171.8,78.3
160,충청북도 충주시,충청북도,충주시,45.8,56.4,22.6,58.4,정체,0.935,14933,6387,68934,105611,14.14,42.77,-2.64,-0.54,-2.1,-5.07,0.36,0.56,0.51,205247,1227981,148.2,1384.9,72.8
160,경상북도 고령군,경상북도,고령군,45.8,64.0,42.9,30.4,포화,1.06,2589,879,10865,16150,16.03,33.95,-0.93,-1.15,0.22,3.44,0.71,0.19,0.63,29411,207939,19.0,1547.9,88.0
162,전남광주통합특별시 장흥군,전남광주통합특별시,장흥군,45.7,51.5,63.2,22.4,미개척,0.959,2476,797,11832,17060,14.51,32.19,4.9,-0.94,5.84,-1.57,0.63,0.58,0.84,33819,246636,176.1,192.0,73.2
163,강원특별자치도 춘천시,강원특별자치도,춘천시,45.4,38.4,47.0,50.9,미개척,0.805,16964,5646,95904,139226,12.18,33.28,7.03,-0.14,7.17,2.41,0.25,0.0,0.65,283790,705947,1494.1,189.9,59.8
164,충청남도 금산군,충청남도,금산군,45.3,80.8,35.4,19.6,포화,1.348,3863,1719,14398,18933,20.4,44.5,-6.94,-0.82,-6.12,-0.83,0.52,0.52,0.81,48716,84309,542.6,89.8,79.3
165,경기도 가평군,경기도,가평군,45.0,52.5,53.8,28.8,성장 중,1.103,4804,982,19659,28804,16.68,20.44,6.96,-0.33,7.29,2.82,0.32,0.36,0.63,61762,159635,413.1,149.5,77.8
166,충청북도 영동군,충청북도,영동군,44.9,48.2,58.8,27.8,미개척,0.976,2906,865,15335,19681,14.77,29.77,5.33,0.22,5.11,-0.31,0.57,0.37,0.89,42929,162717,782.2,54.9,67.7
167,경기도 과천시,경기도,과천시,44.8,59.0,38.7,36.6,포화,1.11,8366,1719,37854,49834,16.79,20.55,1.86,-0.22,2.08,-1.32,0.11,0.5,0.73,80608,202157,219.4,367.4,103.8
168,전남광주통합특별시 진도군,전남광주통합특별시,진도군,44.7,42.8,79.7,11.7,성장 중,1.04,1885,315,9198,11983,15.73,16.71,4.98,-1.34,6.32,3.45,0.9,0.67,0.77,27770,139275,350.6,79.2,67.9
168,충청남도 청양군,충청남도,청양군,44.7,62.3,43.7,28.2,성장 중,1.041,2731,918,12925,17345,15.75,33.61,6.58,2.81,3.77,-5.72,0.39,0.23,0.86,29959,52552,252.2,118.8,91.2
170,인천광역시 중구·동구 통합권역,인천광역시,중구·동구 통합권역,44.6,32.4,33.0,68.4,미개척,0.922,12388,2346,56478,88788,13.95,18.94,6.63,2.91,3.72,-2.97,0.22,0.26,0.59,236038,431692,72.7,3246.7,52.5
171,전북특별자치도 임실군,전북특별자치도,임실군,44.5,53.8,55.1,24.5,포화,1.256,1719,273,6952,9048,19.0,15.88,1.56,-0.13,1.69,3.31,0.58,0.68,0.58,25270,190898,307.0,82.3,68.0
172,전남광주통합특별시 구례군,전남광주통합특별시,구례군,44.3,48.4,55.3,29.1,성장 중,1.032,1458,443,7193,9343,15.61,30.38,4.69,2.86,1.83,0.52,0.49,0.63,0.73,24524,162612,416.0,59.0,59.5
173,전북특별자치도 정읍시,전북특별자치도,정읍시,44.2,41.7,48.5,42.3,정체,0.793,4382,2689,27725,36556,11.99,61.36,0.52,-0.4,0.92,0.12,0.77,0.5,0.64,100392,581425,317.1,316.6,43.6
174,서울특별시 노원구,서울특별시,노원구,43.5,18.9,40.3,71.2,정체,0.403,16119,5588,185658,264053,6.1,34.67,-1.81,-1.14,-0.67,-0.57,0.86,0.33,0.68,478395,2452658,237.3,2016.0,33.7
175,충청남도 계룡시,충청남도,계룡시,43.3,40.8,60.4,28.6,미개척,0.849,2345,871,12574,18254,12.85,37.14,7.1,-0.22,7.32,-0.62,0.69,0.54,0.61,45883,100997,175.4,261.6,51.1
175,경기도 수원시 권선구,경기도,수원시 권선구,43.3,29.5,28.0,72.5,정체,0.867,23008,2133,123261,175471,13.11,9.27,-1.97,-0.37,-1.6,2.53,0.5,0.15,0.49,358865,1667386,146.4,2451.3,64.1
177,경상남도 통영시,경상남도,통영시,43.1,27.4,69.2,32.8,미개척,0.503,3121,1452,25962,41013,7.61,46.52,3.92,-1.26,5.18,-4.65,0.77,0.92,0.96,115598,639912,626.4,184.5,27.0
177,전북특별자치도 전주시 완산구,전북특별자치도,전주시 완산구,43.1,21.4,54.3,53.6,미개척,0.57,13108,3841,104091,152016,8.62,29.3,4.32,-1.73,6.05,-1.41,0.14,0.52,0.95,312068,2426923,599.6,520.5,42.0
177,경기도 안산시 상록구,경기도,안산시 상록구,43.1,31.7,39.6,57.9,미개척,0.878,21866,1093,100945,164535,13.29,5.0,2.53,-1.18,3.71,-4.29,0.39,0.31,0.81,318682,1488147,264.6,1204.4,68.6
180,전남광주통합특별시 완도군,전남광주통합특별시,완도군,43.0,42.5,60.1,26.4,미개척,0.689,2457,1242,16969,23563,10.43,50.55,7.26,-1.95,9.21,2.22,0.53,0.27,0.73,43997,306226,41.0,1073.1,55.8
180,서울특별시 강북구,서울특별시,강북구,43.0,18.7,48.0,62.4,정체,0.549,13981,3278,131278,168465,8.3,23.45,1.45,-1.08,2.53,0.19,0.7,0.0,0.83,275687,1466168,122.1,2257.9,50.7
182,경상남도 의령군,경상남도,의령군,42.8,57.2,58.0,13.2,성장 중,1.051,1985,591,8038,12488,15.9,29.77,3.13,-1.13,4.26,0.52,0.58,0.42,0.86,24468,151842,377.5,64.8,81.1
183,경상남도 밀양시,경상남도,밀양시,42.7,49.0,29.0,50.2,포화,1.073,7446,1275,29715,45853,16.24,17.12,-7.2,-1.27,-5.93,0.88,0.3,0.64,0.59,98168,687892,20.3,4835.9,75.8
184,경기도 수원시 팔달구,경기도,수원시 팔달구,42.3,22.1,44.0,60.8,정체,0.708,10747,1834,60360,100369,10.71,17.07,-1.76,0.03,-1.79,-0.69,0.52,0.68,0.75,192040,1447186,204.6,938.6,56.0
184,경상북도 청도군,경상북도,청도군,42.3,49.4,54.4,23.0,미개척,0.951,2770,877,13378,19261,14.38,31.66,11.44,-0.72,12.16,-8.0,0.37,0.6,0.65,39902,246466,600.7,66.4,69.4
186,인천광역시 부평구,인천광역시,부평구,42.2,12.5,43.0,71.1,정체,0.505,13501,3390,136281,176740,7.64,25.11,1.98,-1.08,3.06,-1.56,0.27,0.36,0.9,485284,1830601,201.8,2404.8,27.8
187,부산광역시 사상구,부산광역시,사상구,41.9,29.9,64.3,31.4,미개척,0.524,8419,3665,69526,106221,7.93,43.53,9.41,-1.89,11.3,6.26,0.59,0.22,0.62,191580,611666,903.6,212.0,43.9
187,전남광주통합특별시 해남군,전남광주통합특별시,해남군,41.9,32.8,67.4,25.6,미개척,0.903,3864,601,21956,28288,13.66,15.55,4.93,-0.78,5.71,1.94,0.53,0.68,0.77,61877,304494,1470.4,42.1,62.4
189,대구광역시 중구,대구광역시,중구,41.8,7.3,66.2,51.8,미개척,0.367,2434,548,32604,43890,5.55,22.51,3.34,1.51,1.83,3.77,0.42,0.66,0.94,101295,355593,100.8,1004.9,24.0
189,경상북도 칠곡군,경상북도,칠곡군,41.8,38.8,56.5,30.2,미개척,0.821,5310,1953,29482,42762,12.42,36.78,7.52,-1.87,9.39,3.86,0.5,0.1,0.61,103199,260194,128.1,805.6,51.5
191,전남광주통합특별시 화순군,전남광주통합특별시,화순군,41.5,36.9,54.8,32.8,정체,0.862,3655,1019,18847,28034,13.04,27.88,1.01,-0.96,1.97,1.38,0.62,0.55,0.75,59666,214426,84.2,708.6,61.3
191,강원특별자치도 철원군,강원특별자치도,철원군,41.5,56.0,47.4,21.2,포화,1.015,3140,1003,15518,20454,15.35,31.94,1.93,-0.91,2.84,-2.0,0.31,0.47,1.0,39575,117635,154.7,255.8,79.3
191,전남광주통합특별시 무안군,전남광주통합특별시,무안군,41.5,30.6,39.9,54.1,정체,0.861,4435,1141,20808,34053,13.02,25.73,-4.28,0.77,-5.05,4.44,0.54,0.55,0.58,95441,485778,66.3,1439.5,46.5
194,충청남도 서천군,충청남도,서천군,41.1,60.6,39.2,23.4,포화,1.117,3905,1075,15801,23102,16.9,27.53,-4.21,-2.03,-2.18,2.43,0.65,0.39,0.64,46494,390661,109.1,426.2,84.0
194,경상북도 성주군,경상북도,성주군,41.1,48.6,53.2,21.6,정체,0.932,3466,952,15930,24573,14.1,27.47,-6.14,-1.41,-4.73,5.98,0.78,0.33,0.99,40286,290445,172.3,233.8,86.0
196,경상북도 김천시,경상북도,김천시,40.8,38.8,46.0,37.6,미개척,0.863,6874,2232,37838,52668,13.05,32.47,6.87,-1.54,8.41,2.52,0.4,0.1,0.41,132263,692881,239.6,552.0,52.0
197,부산광역시 사하구,부산광역시,사하구,40.7,15.1,56.4,50.5,미개척,0.623,10966,1889,80562,116270,9.43,17.23,3.53,-2.47,6.0,0.78,1.0,0.36,0.59,280702,1272072,184.3,1523.1,39.1
198,부산광역시 중구,부산광역시,중구,40.3,59.4,49.2,12.2,성장 중,1.057,2724,917,10481,17032,15.99,33.66,3.55,-1.97,5.52,-0.02,0.42,0.44,0.71,35926,85165,132.1,272.0,75.8
199,경상북도 예천군,경상북도,예천군,40.1,72.6,30.4,17.2,포화,1.085,5040,2164,22900,30720,16.41,42.94,-5.67,-1.35,-4.32,-6.03,0.58,0.62,0.63,53237,136593,347.9,153.0,94.7
200,세종특별자치시 세종특별자치시,세종특별자치시,세종특별자치시,40.0,34.0,22.0,64.1,정체,0.876,25938,4702,134704,195689,13.25,18.13,-1.79,-0.28,-1.51,-1.27,0.43,0.15,0.6,390229,973867,379.5,1028.3,66.5
201,충청남도 공주시,충청남도,공주시,39.9,14.6,67.7,37.3,미개척,0.49,2599,759,22202,35063,7.41,29.2,7.05,-0.97,8.02,0.53,0.63,0.52,0.77,99357,544239,244.0,407.2,26.2
201,전남광주통합특별시 고흥군,전남광주통합특별시,고흥군,39.9,24.2,74.4,21.0,정체,0.33,1256,598,15716,25129,5.0,47.61,1.85,-1.33,3.18,4.87,1.0,0.62,0.82,58847,146838,258.5,227.6,21.3
201,경상남도 창원시 마산합포구,경상남도,창원시 마산합포구,39.9,27.6,51.8,40.4,정체,0.648,7780,2542,51956,79336,9.81,32.67,-1.91,-1.08,-0.83,2.25,0.53,0.61,0.83,173837,624954,454.7,382.3,44.8
204,울산광역시 북구,울산광역시,북구,39.8,24.7,44.4,50.2,미개척,0.656,10707,2984,77341,107782,9.93,27.87,4.14,-1.04,5.18,-2.08,0.08,0.58,0.68,213144,1187009,314.5,677.7,50.2
205,부산광역시 북구,부산광역시,북구,39.6,22.2,44.7,52.0,미개척,0.73,14007,2458,92223,126784,11.05,17.55,4.39,-1.55,5.94,-4.13,0.18,0.62,0.63,259676,1428409,196.3,1322.9,53.9
206,경상북도 구미시,경상북도,구미시,39.5,15.8,34.7,68.1,정체,0.548,19294,3830,166200,232726,8.29,19.85,0.46,-0.32,0.78,-2.9,0.49,0.47,0.63,401590,979655,229.5,1749.8,48.0
207,충청남도 논산시,충청남도,논산시,39.4,41.0,44.8,32.3,미개척,0.64,5567,3483,41985,57521,9.68,62.57,2.76,-1.47,4.23,-1.94,0.26,0.59,0.72,105533,443430,275.7,382.8,52.8
208,경상남도 거제시,경상남도,거제시,39.3,41.0,21.4,55.6,정체,0.899,13578,4094,65281,99806,13.6,30.15,-3.15,-1.2,-1.95,-0.3,0.41,0.29,0.53,228091,1288961,127.0,1796.0,59.5
209,경기도 양주시,경기도,양주시,39.0,23.0,27.5,66.6,정체,0.578,15644,4054,109721,179068,8.74,25.91,-7.28,1.35,-8.63,3.58,0.55,0.23,0.57,296240,864457,279.1,1061.4,52.8
210,인천광역시 옹진군,인천광역시,옹진군,38.8,63.0,50.1,3.4,성장 중,1.446,1512,200,5121,6912,21.88,13.23,3.92,-1.99,5.91,-1.2,0.95,0.33,0.55,19252,103477,727.8,26.5,78.5
211,전남광주통합특별시 신안군,전남광주통합특별시,신안군,38.7,18.4,58.8,38.8,미개척,0.665,1642,370,10124,16321,10.06,22.53,6.91,8.87,-1.96,0.3,0.81,0.75,0.6,42305,171120,197.7,214.0,38.8
212,충청남도 태안군,충청남도,태안군,38.3,39.6,55.3,19.9,미개척,0.82,3110,1145,16516,25062,12.41,36.82,3.71,-1.29,5.0,-0.9,0.47,0.78,0.67,58807,188051,585.1,100.5,52.9
213,경상남도 창녕군,경상남도,창녕군,38.1,43.0,46.7,24.5,정체,0.834,2515,1117,14283,19937,12.61,44.41,-0.13,-1.52,1.39,0.25,0.58,0.23,0.98,54220,214376,126.7,427.9,46.4
214,충청남도 천안시 동남구,충청남도,천안시 동남구,38.0,10.3,40.2,63.4,정체,0.526,11799,1546,101460,148250,7.96,13.1,0.38,1.01,-0.63,-0.36,0.66,0.47,0.61,262794,893454,310.9,845.3,44.9
215,대구광역시 남구,대구광역시,남구,37.9,21.4,25.3,67.0,정체,0.53,4663,1529,42198,58126,8.02,32.79,-5.21,3.89,-9.1,0.35,0.53,0.39,0.57,140852,496710,32.4,4347.3,33.1
216,전남광주통합특별시 장성군,전남광주통합특별시,장성군,37.6,49.4,37.7,25.8,정체,0.867,3344,1167,18554,25481,13.12,34.9,-1.08,0.53,-1.61,3.84,0.84,0.0,0.33,43047,91449,1324.0,32.5,77.7
217,경상북도 영덕군,경상북도,영덕군,36.8,36.6,57.3,16.6,미개척,0.686,1525,661,9133,14692,10.38,43.34,9.54,-1.17,10.71,5.49,0.46,0.28,0.47,32460,101949,151.0,215.0,47.0
217,충청북도 증평군,충청북도,증평군,36.8,41.6,40.9,27.9,정체,0.837,2071,726,11681,16358,12.66,35.06,-2.67,-1.05,-1.62,1.5,0.3,0.4,1.0,36658,226280,67.6,542.3,56.5
219,충청남도 홍성군,충청남도,홍성군,36.2,12.2,52.4,44.0,미개척,0.603,3979,392,28471,43622,9.12,9.85,13.39,1.63,11.76,-3.53,0.18,0.23,0.91,101501,200689,314.4,322.8,39.2
220,경상북도 울릉군,경상북도,울릉군,36.1,44.4,58.8,5.2,정체,0.772,473,290,2438,4050,11.68,61.31,-6.52,-1.54,-4.98,2.69,0.81,0.76,0.87,8752,82725,358.2,24.4,54.0
220,전북특별자치도 남원시,전북특별자치도,남원시,36.1,30.8,50.2,27.4,정체,0.533,2714,1259,21063,33655,8.06,46.39,-1.96,-1.67,-0.29,3.69,0.57,0.83,0.58,73585,193260,87.8,838.1,36.9
222,경상남도 산청군,경상남도,산청군,36.0,32.0,60.7,15.2,정체,0.564,1697,672,14529,19901,8.53,39.6,0.38,-1.18,1.56,5.68,0.23,0.7,0.92,32554,57183,161.1,202.1,52.1
223,부산광역시 강서구,부산광역시,강서구,35.7,26.7,21.0,59.4,정체,0.828,9293,1342,52577,74178,12.53,14.44,-4.25,4.97,-9.22,-0.33,0.44,0.14,0.68,153826,959532,357.1,430.8,60.4
224,강원특별자치도 횡성군,강원특별자치도,횡성군,35.2,39.9,39.6,26.0,정체,0.718,2763,1152,19534,25431,10.86,41.69,0.19,-0.67,0.86,0.12,0.56,0.5,0.58,45373,337639,555.0,81.8,60.9
225,부산광역시 연제구,부산광역시,연제구,35.0,9.5,26.1,69.5,정체,0.33,4270,1166,57070,85409,5.0,27.31,-6.86,0.25,-7.11,1.95,0.43,0.1,0.73,210923,1828126,123.0,1714.8,20.2
226,경상북도 울진군,경상북도,울진군,34.8,30.0,42.3,32.1,정체,0.832,2297,617,12040,18261,12.58,26.86,-4.48,0.58,-5.06,0.29,0.91,0.23,0.9,46112,147373,234.6,196.6,49.8
227,경상남도 합천군,경상남도,합천군,34.7,45.8,40.4,18.0,포화,1.052,2390,566,10157,15023,15.91,23.68,-1.34,-1.67,0.33,-1.21,0.09,0.73,0.77,38614,180798,132.6,291.2,61.9
228,충청북도 보은군,충청북도,보은군,34.6,41.7,26.8,35.2,포화,1.046,2153,108,10384,13598,15.83,5.02,-0.6,3.66,-4.26,-7.81,0.16,0.74,0.59,31420,54932,75.8,414.5,68.5
228,경상남도 고성군,경상남도,고성군,34.6,25.4,61.7,16.6,미개척,0.795,3169,158,19023,26360,12.02,4.99,9.27,-1.29,10.56,3.27,0.45,0.36,0.66,46678,136237,352.9,132.3,67.9
230,충청북도 제천시,충청북도,제천시,34.3,17.4,31.0,54.6,정체,0.439,4214,1345,38970,63424,6.64,31.92,-0.33,-0.11,-0.22,1.38,0.39,0.23,0.64,127746,1085993,160.0,798.4,33.0
231,강원특별자치도 영월군,강원특별자치도,영월군,33.8,26.9,60.6,13.8,미개척,0.527,1156,493,10580,14489,7.98,42.65,9.9,-1.72,11.62,2.33,0.53,0.41,0.57,35545,322959,702.4,50.6,32.5
231,전남광주통합특별시 곡성군,전남광주통합특별시,곡성군,33.8,32.6,29.8,39.0,정체,0.887,1546,323,7626,11519,13.42,20.89,-0.57,4.08,-4.65,-1.39,0.58,0.4,0.6,27614,223567,87.1,317.0,56.0
233,전남광주통합특별시 강진군,전남광주통합특별시,강진군,33.7,35.3,39.5,26.2,정체,0.802,1590,536,8156,13094,12.14,33.71,-1.76,-0.53,-1.23,-2.83,0.16,0.85,0.82,31605,139250,92.7,340.9,50.3
234,경상남도 남해군,경상남도,남해군,33.3,27.3,34.2,38.4,정체,0.773,2653,502,14387,22674,11.7,18.92,-1.21,4.52,-5.73,1.91,0.61,0.33,0.61,41023,388328,731.4,56.1,64.7
235,경상북도 영양군,경상북도,영양군,32.7,18.0,52.2,28.0,정체,0.346,293,107,3991,5603,5.23,36.52,0.64,4.97,-4.33,3.41,0.56,0.44,0.87,15954,70475,161.3,98.9,18.4
236,경기도 동두천시,경기도,동두천시,32.6,22.8,35.2,39.7,정체,0.574,3529,1070,26308,40618,8.69,30.32,-2.55,-0.81,-1.74,0.16,0.57,0.44,0.64,85537,331025,74.7,1145.1,41.3
237,경상북도 포항시 남구,경상북도,포항시 남구,32.5,29.6,33.8,34.0,정체,0.541,8520,3666,80032,103966,8.19,43.03,-6.99,-2.64,-4.35,-0.76,0.51,0.62,0.67,210931,746197,810.2,260.3,40.4
